CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
0.0937502,-0.003,-0.0369,0.9008,19.2,23.2262,22.921,22.4896,22.4031,22.438
0.827039,-0.0028,-0.0241,0.3897,4.1,,,25.7471,24.3751,23.801
0.188407,-0.0032,-0.0271,1.0075,29.9,26.3561,24.6981,23.1964,21.9297,21.4955
0.78207,-0.0045,-0.0096,0.6043,7.5,24.8329,24.2112,23.8639,23.5278,23.12
0.293001,-0.0028,-0.0073,0.701,4.6,,26.647,25.4032,24.0183,23.145
0.00596417,-0.0018,0.0161,1.1418,7.4,24.3628,23.9044,23.7643,23.5402,23.0226
0.0436262,-0.0033,-0.0164,1.0306,4.4,26.1321,24.947,24.4614,24.3369,24.7437
0.0324726,-0.0034,-0.0128,3.0196,17.8,24.775,23.6976,23.0132,22.5122,21.9681
0.103541,-0.0022,0.0152,0.0,15.3,25.9836,24.0265,23.2431,22.7312,22.3973
0.345985,-0.0036,-0.0127,1.6021,3.3,25.0329,24.6885,24.6467,24.5038,23.9581
0.00179033,-0.0007,-0.0047,3.6228,5.7,24.7552,24.507,24.5849,24.0682,23.9736
0.569882,-0.0013,-0.005,1.2412,2.4,25.0239,24.7532,24.7467,24.5327,
0.000244699,0.0019,0.0015,2.9498,10.5,24.7564,24.2504,23.5892,23.1667,23.0011
0.00284132,-0.0054,-0.0114,1.791,3.9,25.2628,25.0206,24.6623,24.5269,24.7313
0.0141398,-0.0062,0.0046,1.4426,6.8,24.9034,24.5534,24.2616,23.604,23.0978
0.0156357,-0.003,-0.0364,1.5395,6.1,24.5685,24.3735,24.1145,23.831,23.7076
0.00118419,-0.0039,0.01,2.2784,5.4,25.2215,24.2295,24.1526,23.9319,23.8245
0.0277601,-0.0032,-0.038,2.106,34.1,23.7554,22.8726,22.0568,21.7554,21.3065
0.0403191,-0.0002,-0.0303,1.359,3.9,25.7655,25.3868,24.6831,24.2574,24.2144
0.0176724,-0.0015,-0.0055,2.0625,3.0,26.1025,26.2693,25.7412,24.4877,23.7205
0.00527989,0.0063,0.0044,1.7704,5.5,24.9375,24.6432,24.2125,23.9718,23.8728
0.0889152,-0.0019,-0.0321,1.8267,8.5,24.3912,23.8294,23.6397,23.2207,22.7423
0.306085,-0.0067,0.0032,0.969,3.7,25.9059,24.8862,24.4255,24.4564,24.4076
0.13757,-0.0061,0.0025,1.1754,7.1,25.6739,24.8496,24.2223,23.5648,23.2687
0.123587,-0.0053,-0.0132,1.1477,10.0,23.8221,23.6047,23.5068,23.1873,22.8128
0.769739,-0.0028,-0.0249,0.8015,3.5,26.2194,25.9226,24.8017,24.5363,24.53
0.782488,-0.0081,-0.009,0.8467,13.0,24.5565,24.252,23.6364,22.9574,22.6299
0.0241346,-0.006,-0.0096,1.0268,5.7,24.7395,24.4691,24.1007,23.9412,23.363
0.0216353,-0.0035,-0.0127,1.7026,8.9,24.6156,24.1668,23.7095,23.3911,23.5669
0.0133105,-0.0048,-0.0119,1.5526,12.0,24.1086,23.9012,23.5357,22.9846,22.4566
0.181615,-0.003,-0.0053,1.6206,11.5,,25.2532,24.218,22.9651,22.2859
0.166145,-0.0056,-0.0107,1.3475,3.4,24.8595,24.4993,24.7193,24.427,
0.350703,-0.0026,-0.0364,0.7461,3.9,,,25.977,24.1624,23.2692
0.0965451,-0.005,-0.0117,1.1199,4.2,25.6435,24.5087,24.1756,24.0832,23.7133
0.734005,-0.0029,-0.0236,0.6424,2.9,25.0975,24.9035,24.8388,24.5521,24.1682
0.406551,-0.0035,-0.0232,0.8178,3.2,26.1616,25.9627,25.3074,24.6118,24.709
0.00605509,-0.0042,-0.0137,2.3236,5.1,26.0405,25.0515,24.5903,24.2669,23.4881
0.105406,-0.0049,-0.009,3.5521,6.9,25.894,25.5857,25.446,24.1407,23.6295
0.7406,0.0024,0.0002,0.0,4.3,,27.2422,25.3663,24.2882,23.9528
0.0886038,-0.0057,-0.0478,0.9867,4.6,24.8421,24.5961,24.3877,23.9686,23.6764
0.014858,-0.0024,-0.0113,2.2959,20.3,23.9207,23.1513,22.5537,22.4085,22.5338
0.0981857,-0.0005,-0.0036,1.2457,8.3,25.4176,24.6875,23.909,23.4243,23.4173
0.952683,-0.0048,-0.0141,0.2773,7.2,,26.1273,24.5307,23.6983,23.3927
0.897225,0.003,-0.0002,0.2965,6.5,24.5612,24.2776,24.2356,23.7728,23.4153
0.688441,0.0005,-0.0293,0.3273,9.6,,25.7482,24.3495,23.1977,22.8426
0.188775,-0.0049,-0.0137,1.125,9.4,24.4094,24.0964,23.946,23.2279,22.8201
0.668559,-0.0062,0.005,0.5104,3.9,26.2672,26.0689,25.1426,24.3834,24.0121
0.00460495,0.0022,0.0,1.7209,4.1,25.6964,25.2036,24.6088,24.3013,23.8944
0.921654,-0.005,-0.0102,0.2503,5.2,27.2961,26.1071,25.2632,24.1418,23.6871
0.166116,-0.0035,-0.0068,0.7461,4.4,25.2664,24.899,24.6516,24.0844,23.6865
0.0145441,-0.0056,-0.0102,2.221,13.0,25.8446,24.7424,23.8979,22.9439,22.3865
0.0163854,-0.0018,-0.0056,1.1134,7.8,24.2628,23.8513,23.7283,23.4079,22.9712
0.00780642,-0.0043,-0.0179,1.657,4.3,24.9117,24.7175,24.5188,24.379,24.1598
0.0414345,-0.002,-0.0326,1.0303,24.7,26.0327,25.0467,23.462,22.1519,21.6906
0.0666682,-0.009,-0.0587,0.9215,4.1,25.2096,24.5953,24.521,24.3459,24.0665
0.979937,-0.0014,-0.0052,0.0,65.8,25.8892,23.8795,22.7061,21.0498,20.3861
0.870243,-0.006,-0.0169,0.0,23.7,26.3886,23.702,22.6926,22.1444,21.7292
0.000348447,0.0072,0.004,2.7748,15.7,23.5378,23.2504,22.9741,22.7658,22.2419
0.218424,-0.0057,-0.0113,1.1953,3.1,25.2544,25.105,25.0185,24.6397,24.0769
0.031667,-0.005,-0.0151,2.3798,52.9,,24.5814,22.7932,21.3471,20.7804
0.00103435,-0.0049,-0.009,3.5759,6.9,26.35,25.9981,25.6675,24.1232,23.6418
0.0708325,-0.0037,0.0107,0.5776,63.6,22.3941,21.5364,21.2401,21.0502,21.0317
0.401163,-0.0047,-0.0137,0.8048,5.0,24.8093,24.5157,24.3281,24.0143,23.4146
0.157725,-0.0054,0.0062,1.4234,3.8,25.4525,24.7187,24.7902,24.6143,24.2865
0.0276955,-0.0036,0.0113,1.8977,6.6,24.8312,24.6992,24.1084,23.6988,23.8428
0.00186399,-0.0014,-0.032,2.8257,8.2,,26.7669,24.9586,23.4259,22.9445
0.077693,-0.006,-0.0107,0.9705,3.8,25.6949,25.5006,24.9452,24.459,24.4855
